
--- [START 2020-03-10_11-02-54] ----------------------------------------------------------------

@common.py:
set random seed
	SEED = 2019
set cuda environment
	torch.__version__              = 1.4.0
	torch.version.cuda             = 10.1
	torch.backends.cudnn.version() = 7603
	os['CUDA_VISIBLE_DEVICES']     = 0,1
	torch.cuda.device_count()      = 2



SEED     = 2019
out_dir  = results/seresnext101/initial_head_seresnext101_combined_crossentropy_sgd_lr0.0457_224to224_mixup0.4_DAda7b_MinLr0.0457_MaxLr0.0457_steps_gradClipping1.0_PRETRAINED_ApplySWA

** dataset setting **
batch_size = 50
train_dataset : 
	len = 180756


valid_dataset : 
	len = 20084



** net setting **
	initial_checkpoint = best_model.pth
net=<class 'torch.nn.parallel.data_parallel.DataParallel'>

optimizer
  SWA (
Parameter Group 0
    dampening: 0
    lr: 0.0457
    momentum: 0.0
    n_avg: 0
    nesterov: False
    step_counter: 0
    weight_decay: 0.0
)
scheduler
  (Exp) Decay Learning Rates
base_lr=0.046, decay=0.100, step=150.000

epochs=96
batch_size=50

mixup_prob=0.00
mixup_alpha=0.40
cutmix_prob=0.00
cutmix_alpha=1.00
grad_clip=1.000000

** START TRAINING HERE! **


                |----------------------- VALID------------------------------------|------- TRAIN/BATCH ----
epoch     rate  | kaggle                    | loss               acc              | loss   | time       
-----------------------------------------------------------------------------------------------------------
  0  0.0457000  | 0.950 : 0.928 0.979 0.966 | 0.24, 0.06, 0.06 : 0.94, 0.98, 0.98 | 0.0116 | 0 hr 42 min
  1  0.0457000  | 0.965 : 0.948 0.985 0.981 | 0.18, 0.05, 0.05 : 0.95, 0.99, 0.99 | 0.0091 | 1 hr 26 min
  2  0.0457000  | 0.965 : 0.950 0.981 0.978 | 0.18, 0.05, 0.05 : 0.95, 0.99, 0.99 | 0.0078 | 2 hr 11 min
  3  0.0457000  | 0.969 : 0.956 0.985 0.981 | 0.15, 0.04, 0.05 : 0.96, 0.99, 0.99 | 0.0071 | 2 hr 56 min
  4  0.0457000  | 0.972 : 0.961 0.986 0.981 | 0.14, 0.04, 0.04 : 0.96, 0.99, 0.99 | 0.0064 | 3 hr 39 min
  5  0.0457000  | 0.966 : 0.956 0.983 0.969 | 0.17, 0.04, 0.05 : 0.96, 0.99, 0.99 | 0.0059 | 4 hr 25 min
  6  0.0457000  | 0.968 : 0.953 0.983 0.983 | 0.15, 0.05, 0.06 : 0.96, 0.99, 0.98 | 0.0055 | 5 hr 08 min
  7  0.0457000  | 0.976 : 0.965 0.987 0.988 | 0.14, 0.05, 0.04 : 0.97, 0.99, 0.99 | 0.0051 | 5 hr 53 min
  8  0.0457000  | 0.976 : 0.964 0.989 0.988 | 0.13, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0048 | 6 hr 38 min
  9  0.0457000  | 0.972 : 0.963 0.985 0.976 | 0.14, 0.05, 0.04 : 0.97, 0.99, 0.99 | 0.0047 | 7 hr 22 min
 10  0.0457000  | 0.979 : 0.968 0.989 0.989 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0044 | 8 hr 07 min
 11  0.0457000  | 0.976 : 0.963 0.989 0.987 | 0.13, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0042 | 8 hr 53 min
 12  0.0457000  | 0.974 : 0.965 0.989 0.978 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0040 | 9 hr 36 min
 13  0.0457000  | 0.979 : 0.968 0.989 0.989 | 0.12, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0039 |10 hr 19 min
 14  0.0457000  | 0.975 : 0.968 0.989 0.975 | 0.13, 0.04, 0.04 : 0.97, 0.99, 0.99 | 0.0038 |11 hr 04 min
